#Thorlabs FTS
[SpectrumHeader]
#Date,20250203
#Time,15375844
#GMTTime,23375844
#Instrument,0
#InstrModel,CCS100
#Series,0
#InterferometerSerial,M00997582
#Type,emission
#ChannelIndex,0
#XAxisUnit,nm_air
#YAxisUnit,intensity
#Average,1
#RollingAverage,0
#SpectrumSmooth,0
#SSmoothParam1,0
#SSmoothParam2,0
#SSmoothParam3,0
#SSmoothParam4,0
#IntegrationTime,100.000000
#TriggerMode,0
#AirMeasureOpt,0
#AirTemp,0.00
#AirPressure,0.00
#AirRelHum,0.00
#WnrMin,13448.815430
#WnrMax,31151.394531
#Length,3648
#Resolution,0.0000000000e+00
#ADC,0
#InstrStatus,0
#RefLaserLocked,0
#ChannelIndex,0
#AttenuationFilter,0
#Stitched,0
#ExcitationWavelength_nm,0
#SoftwareVersion,3.350000
#FirmwareVersion,
#Motor_FirmwareVersion,
#ReconstructionAlgorithms_SoftwareVersion,
#Sensor_FirmwareVersion,
#InstrSeriesIdentifier,MUN_CCS_SERIES
#RefGainIndex,0
#RefSignalInPerecent,0.0
#BBRefGainIndex,0
#BBRefSignalInPerecent,0.0
#AutogainStatus,0
#Name,
#Comment,""
#ExtComment,""
#Source,
[Data]
Pixel Number,Measured Signal
3.699584045e+02,-3.594064037e-04
3.700692139e+02,-1.124134506e-04
3.701800232e+02,1.635536551e-03
3.702908325e+02,4.955691402e-04
3.704016418e+02,1.155800273e-04
3.705124817e+02,-1.708367839e-03
3.706233215e+02,1.008554478e-03
3.707341614e+02,-7.203960558e-04
3.708450012e+02,-5.541508290e-05
3.709558411e+02,3.055745910e-04
3.710667114e+02,1.008554478e-03
3.711775513e+02,-6.063993205e-04
3.712884216e+02,2.865751449e-04
3.713992920e+02,2.485762234e-04
3.715101929e+02,4.955691402e-04
3.716210632e+02,8.755582967e-04
3.717319641e+02,6.095659337e-04
3.718428650e+02,7.995604537e-04
3.719537659e+02,8.375594043e-04
3.720646667e+02,-7.441453636e-05
3.721755676e+02,-6.823971635e-04
3.722864990e+02,-6.823971635e-04
3.723974304e+02,1.065552933e-03
3.725083618e+02,-1.670368947e-03
3.726192932e+02,1.996526262e-03
3.727302246e+02,9.515561396e-04
3.728411560e+02,2.295767772e-04
3.729521179e+02,3.958220259e-05
3.730630798e+02,-5.304014776e-04
3.731740417e+02,-2.454096393e-04
3.732850037e+02,3.958220259e-05
3.733959961e+02,-1.504123647e-04
3.735069580e+02,9.515561396e-04
3.736179504e+02,-7.441453636e-05
3.737289429e+02,-4.734031390e-04
3.738399353e+02,1.008554478e-03
3.739509583e+02,1.725783950e-04
3.740619507e+02,1.008554478e-03
3.741729736e+02,-6.823971635e-04
3.742839966e+02,-7.963938988e-04
3.743950195e+02,2.756504575e-03
3.745060425e+02,9.895550320e-04
3.746170959e+02,-8.153933450e-04
3.747281494e+02,-5.541508290e-05
3.748391724e+02,4.575702478e-04
3.749502258e+02,4.195713263e-04
3.750613098e+02,5.145686446e-04
3.751723633e+02,2.528510988e-03
3.752834473e+02,5.525675369e-04
3.753945007e+02,-5.304014776e-04
3.755055847e+02,-3.024080361e-04
3.756166687e+02,-9.293900803e-04
3.757277832e+02,-3.594064037e-04
3.758388672e+02,1.122551272e-03
3.759499817e+02,1.027553924e-03
3.760610962e+02,-4.354042176e-04
3.761722107e+02,1.730533899e-03
3.762833252e+02,2.675756987e-04
3.763944397e+02,9.135572473e-04
3.765055847e+02,7.235626690e-04
3.766167297e+02,-7.393955602e-04
3.767278748e+02,-1.884112862e-04
3.768390198e+02,-2.644091146e-04
3.769501648e+02,-3.641562580e-05
3.770613403e+02,2.167521277e-03
3.771725159e+02,1.065552933e-03
3.772836609e+02,3.435735125e-04
3.773948364e+02,-1.252380898e-03
3.775060425e+02,1.535789488e-04
3.776172180e+02,3.435735125e-04
3.777284241e+02,2.262518741e-03
3.778396301e+02,-9.863884188e-04
3.779508362e+02,4.005718802e-04
3.780620422e+02,3.435735125e-04
3.781732483e+02,-6.823971635e-04
3.782844849e+02,-4.924025852e-04
3.783956909e+02,5.905664293e-04
3.785069275e+02,6.665642723e-04
3.786181641e+02,-1.884112862e-04
3.787294006e+02,6.475648261e-04
3.788406677e+02,1.977526816e-03
